Museum,Year,VisitorCount,VisitorType
Natural History Museum,2020/21,94000,Under 16
Royal Armouries,2020/21,30474,Under 16
Royal Museums Greenwich,2020/21,30865,Under 16
Science Museum Group,2020/21,130000,Under 16
Sir John Soane's Museum,2020/21,84,Under 16
Tate Gallery Group,2020/21,53000,Under 16
Tyne and Wear Museums,2020/21,,Under 16
Victoria and Albert Museum,2020/21,7800,Under 16
Wallace Collection,2020/21,1024,Under 16
Total,2020/21,552000,Under 16
British Museum,2021/22,390044,Under 16
Museum of the Home,2021/22,9507,Under 16
Horniman Museum,2021/22,117000,Under 16
Imperial War Museums,2021/22,224000,Under 16
Museum of Science and Industry in Manchester,2021/22,,Under 16
National Gallery,2021/22,35500,Under 16
National Museums Liverpool,2021/22,247276,Under 16
National Portrait Gallery,2021/22,,Under 16
Natural History Museum,2021/22,788000,Under 16
Royal Armouries,2021/22,174857,Under 16
Royal Museums Greenwich,2021/22,219085,Under 16
Science Museum Group,2021/22,819000,Under 16
Sir John Soane's Museum,2021/22,2546,Under 16
Tate Gallery Group,2021/22,308000,Under 16
Tyne and Wear Museums,2021/22,,Under 16
Victoria and Albert Museum,2021/22,123800,Under 16
Wallace Collection,2021/22,6138,Under 16
Total,2021/22,3217000,Under 16
British Museum,2022/23,1032000,Under 16
Museum of the Home,2022/23,21877,Under 16
Horniman Museum,2022/23,211000,Under 16
Imperial War Museums,2022/23,432000,Under 16
Museum of Science and Industry in Manchester,2022/23,,Under 16
National Gallery,2022/23,197906,Under 16
National Museums Liverpool,2022/23,432533,Under 16
National Portrait Gallery,2022/23,,Under 16
Natural History Museum,2022/23,1667000,Under 16
Royal Armouries,2022/23,428196,Under 16
Royal Museums Greenwich,2022/23,343569,Under 16
Science Museum Group,2022/23,1425000,Under 16
Sir John Soane's Museum,2022/23,5351,Under 16
Tate Gallery Group,2022/23,496000,Under 16
Tyne and Wear Museums,2022/23,,Under 16
Victoria and Albert Museum,2022/23,208700,Under 16
Wallace Collection,2022/23,15678,Under 16
Total,2022/23,6917000,Under 16
British Museum,2023/24,1378724,Under 16
Museum of the Home,2023/24,23778,Under 16
Horniman Museum,2023/24,256227,Under 16
Imperial War Museums,2023/24,452000,Under 16
Museum of Science and Industry in Manchester,2023/24,,Under 16
National Gallery,2023/24,273865,Under 16
National Museums Liverpool,2023/24,450807,Under 16
National Portrait Gallery,2023/24,95000,Under 16
Natural History Museum,2023/24,1800000,Under 16
Royal Armouries,2023/24,516696,Under 16
Royal Museums Greenwich,2023/24,532400,Under 16
Science Museum Group,2023/24,1628000,Under 16
Sir John Soane's Museum,2023/24,7897,Under 16
Tate Gallery Group,2023/24,525000,Under 16
Tyne and Wear Museums,2023/24,,Under 16
Victoria and Albert Museum,2023/24,585600,Under 16
Wallace Collection,2023/24,68270,Under 16
Total,2023/24,8594000,Under 16
